"site","phylum","class","order","family","genus","species","Lowest_ID"
"TLM01","Arthropoda","Insecta","Coleoptera","Elmidae",,,"Elmidae"
"TLM01","Arthropoda","Insecta","Diptera","Chironomidae","Polypedilum",,"Polypedilum"
"TLM01","Arthropoda","Insecta","Diptera","Chironomidae","Rheotanytarsus",,"Rheotanytarsus"
"TLM01","Arthropoda","Insecta","Diptera","Chironomidae","Tanytarsus",,"Tanytarsus"
"TLM01","Arthropoda","Insecta","Diptera","Chironomidae",,,"Chironomidae"
"TLM01","Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Eurylophella","Eurylophella verisimilis","Eurylophella verisimilis"
"TLM01","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Leucrocuta",,"Leucrocuta"
"TLM01","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Stenacron",,"Stenacron"
"TLM01","Arthropoda","Insecta","Megaloptera","Corydalidae","Nigronia","Nigronia fasciatus","Nigronia fasciatus"
"TLM01","Arthropoda","Insecta","Odonata","Calopterygidae","Calopteryx","Calopteryx maculata","Calopteryx maculata"
"TLM01","Arthropoda","Insecta","Odonata","Gomphidae","Ophiogomphus",,"Ophiogomphus"
"TLM01","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Cheumatopsyche",,"Cheumatopsyche"
"TLM01","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Diplectrona","Diplectrona modesta","Diplectrona modesta"
"TLM01","Arthropoda","Insecta","Trichoptera","Lepidostomatidae","Lepidostoma","Lepidostoma latipenne","Lepidostoma latipenne"
"TLM01","Arthropoda","Insecta","Trichoptera","Limnephilidae","Pycnopsyche","Pycnopsyche antica","Pycnopsyche antica"
"TLM01","Arthropoda","Insecta","Coleoptera","Elmidae","Dubiraphia",,"Dubiraphia"
"TLM01","Arthropoda","Insecta","Coleoptera","Elmidae","Optioservus",,"Optioservus"
"TLM01","Arthropoda","Insecta","Coleoptera","Elmidae","Oulimnius",,"Oulimnius"
"TLM01","Arthropoda","Insecta","Diptera","Chironomidae","Tanytarsus","Tanytarsus guerlus","Tanytarsus guerlus"
"TLM01","Arthropoda","Insecta","Diptera","Dixidae",,,"Dixidae"
"TLM01","Arthropoda","Insecta","Ephemeroptera","Baetidae","Acerpenna",,"Acerpenna"
"TLM01","Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",,"Baetis"
"TLM01","Arthropoda","Insecta","Ephemeroptera","Baetidae",,,"Baetidae"
"TLM01","Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Eurylophella","Eurylophella bicolor","Eurylophella bicolor"
"TLM01","Arthropoda","Insecta","Ephemeroptera","Ephemeridae","Hexagenia",,"Hexagenia"
"TLM01","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Maccaffertium","Maccaffertium ithaca","Maccaffertium ithaca"
"TLM01","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Maccaffertium","Maccaffertium modestum","Maccaffertium modestum"
"TLM01","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Stenacron","Stenacron interpunctatum","Stenacron interpunctatum"
"TLM01","Arthropoda","Insecta","Megaloptera","Corydalidae","Nigronia","Nigronia serricornis","Nigronia serricornis"
"TLM01","Annelida","Clitellata","Lumbriculida","Sparganophilidae","Sparganophilus",,"Sparganophilus"
"TLM01","Arthropoda","Insecta","Coleoptera","Elmidae","Stenelmis",,"Stenelmis"
"TLM01","Arthropoda","Insecta","Diptera","Simuliidae","Simulium",,"Simulium"
"TLM01","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Stenacron","Stenacron pallidum","Stenacron pallidum"
"TLM01","Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Habrophlebiodes","Habrophlebiodes americana","Habrophlebiodes americana"
"TLM01","Arthropoda","Insecta","Odonata","Cordulegastridae","Cordulegaster",,"Cordulegaster"
"TLM01","Arthropoda","Insecta","Plecoptera","Capniidae","Allocapnia",,"Allocapnia"
"TLM01","Arthropoda","Hexanauplia","Cyclopoida","Cyclopidae","Macrocyclops","Macrocyclops albidus","Macrocyclops albidus"
"TLM01","Arthropoda","Insecta","Coleoptera","Elmidae","Macronychus",,"Macronychus"
"TLM01","Arthropoda","Insecta","Diptera","Simuliidae",,,"Simuliidae"
"TLM01","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Maccaffertium","Maccaffertium carlsoni","Maccaffertium carlsoni"
"TLM01","Arthropoda","Insecta","Plecoptera","Capniidae",,,"Capniidae"
