"phylum","class","order","family","genus","species"
"Annelida","Clitellata","Haplotaxida","Naididae","Aulodrilus","Aulodrilus pluriseta"
"Annelida","Clitellata","Haplotaxida","Naididae","Nais",
"Arthropoda","Arachnida","Araneae","Tetragnathidae","Tetragnatha","Tetragnatha viridis"
"Arthropoda","Arachnida","Sarcoptiformes","Oripodidae",,
"Arthropoda","Hexanauplia","Cyclopoida","Cyclopidae","Macrocyclops",
"Arthropoda","Hexanauplia","Cyclopoida","Cyclopidae",,
"Arthropoda","Insecta","Coleoptera","Elmidae","Dubiraphia",
"Arthropoda","Insecta","Coleoptera","Elmidae","Macronychus",
"Arthropoda","Insecta","Coleoptera","Elmidae","Optioservus",
"Arthropoda","Insecta","Coleoptera","Elmidae","Oulimnius","Oulimnius latiusculus"
"Arthropoda","Insecta","Coleoptera","Elmidae","Oulimnius",
"Arthropoda","Insecta","Coleoptera","Elmidae","Stenelmis",
"Arthropoda","Insecta","Coleoptera","Elmidae",,
"Arthropoda","Insecta","Coleoptera","Psephenidae","Ectopria",
"Arthropoda","Insecta","Coleoptera","Psephenidae","Psephenus",
"Arthropoda","Insecta","Coleoptera","Ptilodactylidae","Ptilodactyla","Ptilodactyla serricollis"
"Arthropoda","Insecta","Diptera","Ceratopogonidae","Palpomyia",
"Arthropoda","Insecta","Diptera","Ceratopogonidae","Stilobezzia",
"Arthropoda","Insecta","Diptera","Ceratopogonidae",,
"Arthropoda","Insecta","Diptera","Chironomidae","Ablabesmyia",
"Arthropoda","Insecta","Diptera","Chironomidae","Clinotanypus",
"Arthropoda","Insecta","Diptera","Chironomidae","Conchapelopia",
"Arthropoda","Insecta","Diptera","Chironomidae","Cricotopus",
"Arthropoda","Insecta","Diptera","Chironomidae","Cryptochironomus",
"Arthropoda","Insecta","Diptera","Chironomidae","Lauterborniella","Lauterborniella agrayloides"
"Arthropoda","Insecta","Diptera","Chironomidae","Parakiefferiella",
"Arthropoda","Insecta","Diptera","Chironomidae","Parametriocnemus",
"Arthropoda","Insecta","Diptera","Chironomidae","Paraphaenocladius",
"Arthropoda","Insecta","Diptera","Chironomidae","Polypedilum",
"Arthropoda","Insecta","Diptera","Chironomidae","Procladius",
"Arthropoda","Insecta","Diptera","Chironomidae","Rheocricotopus","Rheocricotopus robacki"
"Arthropoda","Insecta","Diptera","Chironomidae","Rheocricotopus",
"Arthropoda","Insecta","Diptera","Chironomidae","Rheotanytarsus",
"Arthropoda","Insecta","Diptera","Chironomidae","Stempellinella","Stempellinella fimbriata"
"Arthropoda","Insecta","Diptera","Chironomidae","Tanytarsus",
"Arthropoda","Insecta","Diptera","Chironomidae","Thienemanniella","Thienemanniella xena"
"Arthropoda","Insecta","Diptera","Chironomidae","Thienemannimyia",
"Arthropoda","Insecta","Diptera","Chironomidae","Tribelos",
"Arthropoda","Insecta","Diptera","Chironomidae","Tvetenia","Tvetenia paucunca"
"Arthropoda","Insecta","Diptera","Chironomidae","Xylotopus",
"Arthropoda","Insecta","Diptera","Chironomidae",,
"Arthropoda","Insecta","Diptera","Dixidae",,
"Arthropoda","Insecta","Diptera","Dolichopodidae",,
"Arthropoda","Insecta","Diptera","Limoniidae",,
"Arthropoda","Insecta","Diptera","Ptychopteridae","Bittacomorpha","Bittacomorpha clavipes"
"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium","Prosimulium mixtum"
"Arthropoda","Insecta","Diptera","Simuliidae","Simulium",
"Arthropoda","Insecta","Diptera","Simuliidae","Stegopterna",
"Arthropoda","Insecta","Diptera","Simuliidae",,
"Arthropoda","Insecta","Diptera","Tipulidae","Tipula","Tipula abdominalis"
"Arthropoda","Insecta","Ephemeroptera","Baetidae","Acerpenna",
"Arthropoda","Insecta","Ephemeroptera","Baetidae","Procloeon",
"Arthropoda","Insecta","Ephemeroptera","Baetidae",,
"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Ephemerella",
"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Eurylophella","Eurylophella verisimilis"
"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Eurylophella",
"Arthropoda","Insecta","Ephemeroptera","Ephemeridae","Ephemera","Ephemera blanda"
"Arthropoda","Insecta","Ephemeroptera","Ephemeridae","Hexagenia",
"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Leucrocuta",
"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Maccaffertium","Maccaffertium ithaca"
"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Maccaffertium","Maccaffertium meririvulanum"
"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Stenacron","Stenacron pallidum"
