"phylum","class","order","family","genus","species","Lowest_ID"
"Arthropoda","Insecta","Coleoptera","Elmidae","Stenelmis",,"Stenelmis"
"Arthropoda","Insecta","Coleoptera","Elmidae",,,"Elmidae"
"Arthropoda","Insecta","Coleoptera","Psephenidae","Psephenus","Psephenus herricki","Psephenus herricki"
"Arthropoda","Insecta","Diptera","Chironomidae","Tanytarsus",,"Tanytarsus"
"Arthropoda","Insecta","Diptera","Chironomidae",,,"Chironomidae"
"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Maccaffertium","Maccaffertium meririvulanum","Maccaffertium meririvulanum"
"Arthropoda","Insecta","Megaloptera","Corydalidae","Nigronia","Nigronia fasciatus","Nigronia fasciatus"
"Arthropoda","Insecta","Odonata","Calopterygidae","Calopteryx",,"Calopteryx"
"Arthropoda","Insecta","Plecoptera","Peltoperlidae","Tallaperla",,"Tallaperla"
"Arthropoda","Insecta","Plecoptera","Perlidae","Eccoptura",,"Eccoptura"
"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Diplectrona","Diplectrona metaqui","Diplectrona metaqui"
"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Diplectrona","Diplectrona modesta","Diplectrona modesta"
"Arthropoda","Insecta","Trichoptera","Philopotamidae","Wormaldia",,"Wormaldia"
"Arthropoda","Insecta","Coleoptera","Elmidae","Optioservus",,"Optioservus"
"Arthropoda","Insecta","Coleoptera","Elmidae","Oulimnius","Oulimnius latiusculus","Oulimnius latiusculus"
"Arthropoda","Insecta","Diptera","Ceratopogonidae","Palpomyia",,"Palpomyia"
"Arthropoda","Insecta","Diptera","Ceratopogonidae",,,"Ceratopogonidae"
"Arthropoda","Insecta","Diptera","Chironomidae","Cryptochironomus",,"Cryptochironomus"
"Arthropoda","Insecta","Diptera","Chironomidae","Parakiefferiella",,"Parakiefferiella"
"Arthropoda","Insecta","Diptera","Chironomidae","Paraphaenocladius",,"Paraphaenocladius"
"Arthropoda","Insecta","Diptera","Limoniidae","Antocha",,"Antocha"
"Arthropoda","Insecta","Diptera","Simuliidae","Simulium",,"Simulium"
"Arthropoda","Insecta","Odonata","Cordulegastridae","Kalyptogaster","Kalyptogaster erronea","Kalyptogaster erronea"
"Arthropoda","Insecta","Plecoptera","Leuctridae","Leuctra",,"Leuctra"
"Arthropoda","Insecta","Plecoptera","Leuctridae",,,"Leuctridae"
"Arthropoda","Insecta","Plecoptera","Perlidae","Perlesta","Perlesta nelsoni","Perlesta nelsoni"
"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","Hydropsyche betteni","Hydropsyche betteni"
"Arthropoda","Insecta","Trichoptera","Limnephilidae","Pycnopsyche","Pycnopsyche antica","Pycnopsyche antica"
"Arthropoda","Malacostraca","Decapoda","Cambaridae","Lacunicambarus","Lacunicambarus acanthura","Lacunicambarus acanthura"
"Annelida","Clitellata","Haplotaxida","Naididae","Nais",,"Nais"
"Arthropoda","Arachnida","Trombidiformes",,,,"Trombidiformes"
"Arthropoda","Insecta","Coleoptera","Elmidae","Dubiraphia",,"Dubiraphia"
"Arthropoda","Insecta","Diptera","Chironomidae","Rheotanytarsus",,"Rheotanytarsus"
"Arthropoda","Insecta","Diptera","Chironomidae","Thienemannimyia",,"Thienemannimyia"
"Arthropoda","Insecta","Diptera","Empididae","Roederiodes",,"Roederiodes"
"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Ephemerella",,"Ephemerella"
"Arthropoda","Insecta","Ephemeroptera",,,,"Ephemeroptera"
"Arthropoda","Insecta","Plecoptera","Leuctridae","Leuctra","Leuctra tenuis","Leuctra tenuis"
"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Cheumatopsyche",,"Cheumatopsyche"
"Arthropoda","Insecta","Coleoptera","Elmidae","Oulimnius",,"Oulimnius"
"Arthropoda","Insecta","Diptera","Ceratopogonidae","Atrichopogon",,"Atrichopogon"
"Arthropoda","Insecta","Diptera","Chironomidae","Chironomus",,"Chironomus"
"Arthropoda","Insecta","Diptera","Chironomidae","Conchapelopia",,"Conchapelopia"
"Arthropoda","Insecta","Diptera","Chironomidae","Limnophyes",,"Limnophyes"
"Arthropoda","Insecta","Diptera","Chironomidae","Parametriocnemus",,"Parametriocnemus"
"Arthropoda","Insecta","Diptera","Chironomidae","Xylotopus",,"Xylotopus"
"Arthropoda","Insecta","Diptera","Dolichopodidae",,,"Dolichopodidae"
"Arthropoda","Insecta","Diptera","Empididae","Hemerodromia",,"Hemerodromia"
"Arthropoda","Insecta","Diptera","Ptychopteridae","Bittacomorpha","Bittacomorpha clavipes","Bittacomorpha clavipes"
"Arthropoda","Insecta","Megaloptera","Corydalidae","Nigronia","Nigronia serricornis","Nigronia serricornis"
"Arthropoda","Insecta","Odonata","Aeshnidae","Boyeria",,"Boyeria"
"Arthropoda","Insecta","Odonata","Cordulegastridae","Cordulegaster",,"Cordulegaster"
"Arthropoda","Insecta","Odonata","Gomphidae","Gomphus","Gomphus graslinellus","Gomphus graslinellus"
"Arthropoda","Insecta","Trichoptera","Calamoceratidae","Heteroplectron","Heteroplectron americanum","Heteroplectron americanum"
"Arthropoda","Insecta","Trichoptera","Dipseudopsidae","Phylocentropus","Phylocentropus carolinus","Phylocentropus carolinus"
"Arthropoda","Insecta","Coleoptera","Ptilodactylidae","Ptilodactyla","Ptilodactyla serricollis","Ptilodactyla serricollis"
"Arthropoda","Insecta","Diptera","Chironomidae","Tanytarsus","Tanytarsus guerlus","Tanytarsus guerlus"
"Arthropoda","Insecta","Diptera","Chironomidae","Thienemanniella",,"Thienemanniella"
"Arthropoda","Insecta","Hemiptera","Veliidae","Microvelia","Microvelia americana","Microvelia americana"
"Arthropoda","Insecta","Hemiptera","Veliidae","Rhagovelia",,"Rhagovelia"
"Arthropoda","Insecta","Odonata","Gomphidae","Gomphus",,"Gomphus"
"Arthropoda","Insecta","Odonata","Gomphidae","Stylogomphus",,"Stylogomphus"
"Arthropoda","Insecta","Plecoptera","Perlodidae","Isoperla","Isoperla nr. holochlora BOLD:AAB1101","Isoperla nr. holochlora BOLD:AAB1101"
"Arthropoda","Malacostraca","Decapoda","Cambaridae","Cambarus",,"Cambarus"
"Mollusca","Gastropoda","unk_order","Pleuroceridae","Elimia",,"Elimia"
"Arthropoda","Insecta","Diptera","Chironomidae","Cricotopus",,"Cricotopus"
"Arthropoda","Insecta","Diptera","Tipulidae","Tipula",,"Tipula"
"Arthropoda","Insecta","Plecoptera","Peltoperlidae","Tallaperla","Tallaperla cornelia","Tallaperla cornelia"
"Arthropoda","Insecta","Plecoptera","Perlidae","Eccoptura","Eccoptura xanthenes","Eccoptura xanthenes"
"Arthropoda","Arachnida","Sarcoptiformes",,,,"Sarcoptiformes"
"Arthropoda","Insecta","Diptera","Chironomidae","Stempellinella","Stempellinella boltoni","Stempellinella boltoni"
"Arthropoda","Insecta","Diptera","Pediciidae","Dicranota",,"Dicranota"
"Arthropoda","Insecta","Trichoptera","Lepidostomatidae","Lepidostoma","Lepidostoma latipenne","Lepidostoma latipenne"
