"phylum","class","order","family","genus","species","Lowest_ID"
"Arthropoda","Insecta","Coleoptera","Elmidae","Stenelmis",,"Stenelmis"
"Arthropoda","Insecta","Coleoptera","Elmidae",,,"Elmidae"
"Arthropoda","Insecta","Coleoptera","Psephenidae","Psephenus","Psephenus herricki","Psephenus herricki"
"Arthropoda","Insecta","Diptera","Chironomidae","Tanytarsus",,"Tanytarsus"
"Arthropoda","Insecta","Diptera","Chironomidae",,,"Chironomidae"
"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Maccaffertium","Maccaffertium meririvulanum","Maccaffertium meririvulanum"
"Arthropoda","Insecta","Megaloptera","Corydalidae","Nigronia","Nigronia fasciatus","Nigronia fasciatus"
"Arthropoda","Insecta","Odonata","Calopterygidae","Calopteryx",,"Calopteryx"
"Arthropoda","Insecta","Plecoptera","Peltoperlidae","Tallaperla",,"Tallaperla"
"Arthropoda","Insecta","Plecoptera","Perlidae","Eccoptura",,"Eccoptura"
"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Diplectrona","Diplectrona metaqui","Diplectrona metaqui"
"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Diplectrona","Diplectrona modesta","Diplectrona modesta"
"Arthropoda","Insecta","Trichoptera","Philopotamidae","Wormaldia",,"Wormaldia"
"Arthropoda","Arachnida","Trombidiformes","Bdellidae",,,"Bdellidae"
"Arthropoda","Insecta","Coleoptera","Elmidae","Oulimnius","Oulimnius latiusculus","Oulimnius latiusculus"
"Arthropoda","Insecta","Coleoptera","Psephenidae","Psephenus",,"Psephenus"
"Arthropoda","Insecta","Diptera","Chironomidae","Parametriocnemus",,"Parametriocnemus"
"Arthropoda","Insecta","Diptera","Empididae","Roederiodes",,"Roederiodes"
"Arthropoda","Insecta","Diptera","Pediciidae","Dicranota",,"Dicranota"
"Arthropoda","Insecta","Hemiptera","Veliidae","Microvelia","Microvelia americana","Microvelia americana"
"Arthropoda","Insecta","Plecoptera","Peltoperlidae","Tallaperla","Tallaperla cornelia","Tallaperla cornelia"
"Arthropoda","Arachnida","Araneae","Tetragnathidae","Tetragnatha","Tetragnatha viridis","Tetragnatha viridis"
"Arthropoda","Hexanauplia","Cyclopoida","Cyclopidae",,,"Cyclopidae"
"Arthropoda","Insecta","Coleoptera","Elmidae","Dubiraphia",,"Dubiraphia"
"Arthropoda","Insecta","Diptera","Ceratopogonidae","Palpomyia",,"Palpomyia"
"Arthropoda","Insecta","Diptera","Ceratopogonidae",,,"Ceratopogonidae"
"Arthropoda","Insecta","Diptera","Chironomidae","Limnophyes",,"Limnophyes"
"Arthropoda","Insecta","Diptera","Chironomidae","Stempellinella","Stempellinella boltoni","Stempellinella boltoni"
"Arthropoda","Insecta","Ephemeroptera","Baetidae","Procloeon",,"Procloeon"
"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Habrophlebia","Habrophlebia vibrans","Habrophlebia vibrans"
"Arthropoda","Insecta","Trichoptera","Calamoceratidae","Heteroplectron","Heteroplectron americanum","Heteroplectron americanum"
"Arthropoda","Insecta","Trichoptera","Lepidostomatidae","Lepidostoma","Lepidostoma griseum","Lepidostoma griseum"
"Arthropoda","Insecta","Trichoptera","Lepidostomatidae","Lepidostoma","Lepidostoma latipenne","Lepidostoma latipenne"
"Arthropoda","Arachnida","Sarcoptiformes","Chamobatidae","Chamobates",,"Chamobates"
"Arthropoda","Insecta","Diptera","Chironomidae","Chironomus","Chironomus harpi","Chironomus harpi"
"Arthropoda","Insecta","Diptera","Chironomidae","Polypedilum",,"Polypedilum"
"Arthropoda","Insecta","Diptera","Chironomidae","Procladius",,"Procladius"
"Arthropoda","Insecta","Diptera","Chironomidae","Thienemanniella","Thienemanniella xena","Thienemanniella xena"
"Arthropoda","Insecta","Diptera","Limoniidae","Erioptera",,"Erioptera"
"Arthropoda","Insecta","Diptera","Ptychopteridae","Bittacomorpha","Bittacomorpha clavipes","Bittacomorpha clavipes"
"Arthropoda","Insecta","Diptera","Tabanidae","Chrysops","Chrysops cincticornis","Chrysops cincticornis"
"Arthropoda","Insecta","Megaloptera","Corydalidae","Chauliodes",,"Chauliodes"
"Annelida","Clitellata","Haplotaxida","Naididae","Nais",,"Nais"
"Arthropoda","Insecta","Diptera","Chironomidae","Conchapelopia",,"Conchapelopia"
"Arthropoda","Insecta","Diptera","Chironomidae","Rheotanytarsus",,"Rheotanytarsus"
"Arthropoda","Insecta","Trichoptera","Molannidae","Molanna","Molanna blenda","Molanna blenda"
"Arthropoda","Malacostraca","Decapoda","Cambaridae","Cambarus",,"Cambarus"
"Arthropoda","Insecta","Coleoptera","Elmidae","Optioservus",,"Optioservus"
"Arthropoda","Insecta","Diptera","Chironomidae","Cryptochironomus",,"Cryptochironomus"
"Arthropoda","Insecta","Diptera","Chironomidae","Parakiefferiella",,"Parakiefferiella"
"Arthropoda","Insecta","Diptera","Chironomidae","Paraphaenocladius",,"Paraphaenocladius"
"Arthropoda","Insecta","Diptera","Limoniidae","Antocha",,"Antocha"
"Arthropoda","Insecta","Diptera","Simuliidae","Simulium",,"Simulium"
"Arthropoda","Insecta","Odonata","Cordulegastridae","Kalyptogaster","Kalyptogaster erronea","Kalyptogaster erronea"
"Arthropoda","Insecta","Plecoptera","Leuctridae","Leuctra",,"Leuctra"
"Arthropoda","Insecta","Plecoptera","Leuctridae",,,"Leuctridae"
"Arthropoda","Insecta","Plecoptera","Perlidae","Perlesta","Perlesta nelsoni","Perlesta nelsoni"
"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","Hydropsyche betteni","Hydropsyche betteni"
"Arthropoda","Insecta","Trichoptera","Limnephilidae","Pycnopsyche","Pycnopsyche antica","Pycnopsyche antica"
"Arthropoda","Malacostraca","Decapoda","Cambaridae","Lacunicambarus","Lacunicambarus acanthura","Lacunicambarus acanthura"
"Arthropoda","Arachnida","Sarcoptiformes","Galumnidae",,,"Galumnidae"
"Arthropoda","Insecta","Diptera","Chironomidae","Micropsectra",,"Micropsectra"
"Arthropoda","Insecta","Diptera","Chironomidae","Stempellinella","Stempellinella fimbriata","Stempellinella fimbriata"
"Arthropoda","Insecta","Diptera","Chironomidae","Xylotopus",,"Xylotopus"
"Arthropoda","Insecta","Diptera","Culicidae","Culex","Culex territans","Culex territans"
"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Habrophlebiodes","Habrophlebiodes americana","Habrophlebiodes americana"
"Arthropoda","Insecta","Hemiptera","Corixidae",,,"Corixidae"
"Arthropoda","Insecta","Trichoptera","Odontoceridae","Psilotreta","Psilotreta rufa","Psilotreta rufa"
"Arthropoda","Collembola",,,,,"Collembola"
"Arthropoda","Insecta","Diptera","Ceratopogonidae","Culicoides",,"Culicoides"
"Arthropoda","Insecta","Diptera","Limoniidae",,,"Limoniidae"
"Annelida","Clitellata","Lumbriculida","Sparganophilidae","Sparganophilus",,"Sparganophilus"
"Arthropoda","Insecta","Coleoptera","Elmidae","Oulimnius",,"Oulimnius"
"Arthropoda","Insecta","Diptera","Dixidae",,,"Dixidae"
