"date","site","reads","reads_after","diff","per"
20220329,"TLA01",8456,4086,4370,48
20220329,"TLC01",11176,7341,3835,66
20220329,"TLM01",17126,14199,2927,83
20220329,"TLM06",16692,8433,8259,51
20220329,"TLM10",24188,8963,15225,37
20220330,"TLM16",17343,11488,5855,66
20220330,"TLM19",14614,10783,3831,74
20220811,"TLC01",4714,1887,2827,40
20220811,"TLM01",5885,1500,4385,25
20220811,"TLM06",5776,4203,1573,73
20220811,"TLM10",8424,5177,3247,61
20220812,"TLA01",10441,2342,8099,22
20220812,"TLM16",6248,2287,3961,37
20220812,"TLM19",5935,4342,1593,73
20230130,"TLA01",6572,5354,1218,81
20230130,"TLC01",9021,4805,4216,53
20230130,"TLM01",28011,19742,8269,70
20230130,"TLM06",7425,4931,2494,66
20230130,"TLM10",9377,8135,1242,87
20230130,"TLM16",8107,7063,1044,87
20230130,"TLM19",5314,3385,1929,64
