date,site,reads,reads after,Removed,Percent Remaining
20211027,TLM01,2236,2077,159,93
20211117,TLM01,19603,5627,13976,29
20211208,TLM01,19464,6369,13095,33
20220105,TLM01,21606,3597,18009,17
20220124,TLM01,10648,1355,9293,13
20220218,TLM01,16765,4617,12148,28
20220310,TLM01,24071,10469,13602,43
20220329,TLM01,17126,14199,2927,83
20220422,TLM01,24022,12731,11291,53
20220512,TLM01,8857,4448,4409,50
20220609,TLM01,20335,5460,14875,27
20220628,TLM01,9944,4736,5208,48
20220719,TLM01,10080,6311,3769,63
20220811,TLM01,5885,1500,4385,25
20220902,TLM01,11952,675,11277,6
20220916,TLM01,7101,4258,2843,60
20221007,TLM01,10196,4502,5694,44
20221024,TLM01,3553,2993,560,84
20221115,TLM01,5219,3850,1369,74
20221212,TLM01,9603,4517,5086,47
20230106,TLM01,7854,4408,3446,56
20230130,TLM01,28011,19742,8269,70
20220329,TLA01,8456,4086,4370,48
20220329,TLC01,11176,7341,3835,66
20220329,TLM01,17126,14199,2927,83
20220329,TLM06,16692,8433,8259,51
20220329,TLM10,24188,8963,15225,37
20220330,TLM16,17343,11488,5855,66
20220330,TLM19,14614,10783,3831,74
20220811,TLC01,4714,1887,2827,40
20220811,TLM01,5885,1500,4385,25
20220811,TLM06,5776,4203,1573,73
20220811,TLM10,8424,5177,3247,61
20220812,TLA01,10441,2342,8099,22
20220812,TLM16,6248,2287,3961,37
20220812,TLM19,5935,4342,1593,73
20230130,TLA01,6572,5354,1218,81
20230130,TLC01,9021,4805,4216,53
20230130,TLM01,28011,19742,8269,70
20230130,TLM06,7425,4931,2494,66
20230130,TLM10,9377,8135,1242,87
20230130,TLM16,8107,7063,1044,87
20230130,TLM19,5314,3385,1929,64
20220609,TLB01,11365,4722,6643,42
20220609,TLB02,14366,3696,10670,26
20220609,TLC01,15054,10283,4771,68
20220609,TLC02,8213,1054,7159,13
20220609,TLC03,9899,1220,8679,12
20220609,TLCG1,9363,6808,2555,73
20220609,TLM01,20335,5460,14875,27
20220609,TLM03,18843,8499,10344,45
20220609,TLM04,8164,4826,3338,59
20220609,TLM05,9011,5897,3114,65
20220609,TLM06,12867,6414,6453,50
20220609,TLM08,14557,8216,6341,56
20220609,TLM09,17056,8943,8113,52
20220609,TLM10,12221,5834,6387,48
20220610,TLA01,12908,8149,4759,63
20220610,TLA02,19050,4466,14584,23
20220610,TLA04,51795,27514,24281,53
20220610,TLM13,10984,4283,6701,39
20220610,TLM14,5881,5242,639,89
20220610,TLM15,12429,5176,7253,42
20220610,TLM16,3491,2169,1322,62
20220610,TLM17,16939,1079,15860,6
20220610,TLM18,9906,2424,7482,24
20220610,TLM19,11337,1626,9711,14
20220610,TLM20,19019,5018,14001,26
20220610,TLM22,6384,1730,4654,27
20220610,TLMG5,20546,6910,13636,34
20220610,TLZ01,11876,9381,2495,79
