"date","site","reads","reads_after","diff","per"
20211027,"TLM01",2236,2077,159,93
20211117,"TLM01",19603,5627,13976,29
20211208,"TLM01",19464,6369,13095,33
20220105,"TLM01",21606,3597,18009,17
20220124,"TLM01",10648,1355,9293,13
20220218,"TLM01",16765,4617,12148,28
20220310,"TLM01",24071,10469,13602,43
20220329,"TLM01",17126,14199,2927,83
20220422,"TLM01",24022,12731,11291,53
20220512,"TLM01",8857,4448,4409,50
20220609,"TLM01",20335,5460,14875,27
20220628,"TLM01",9944,4736,5208,48
20220719,"TLM01",10080,6311,3769,63
20220811,"TLM01",5885,1500,4385,25
20220902,"TLM01",11952,675,11277,6
20220916,"TLM01",7101,4258,2843,60
20221007,"TLM01",10196,4502,5694,44
20221024,"TLM01",3553,2993,560,84
20221115,"TLM01",5219,3850,1369,74
20221212,"TLM01",9603,4517,5086,47
20230106,"TLM01",7854,4408,3446,56
20230130,"TLM01",28011,19742,8269,70
