Species,Genus
Labrundinia_spp,Labrundinia
Hydrobius_tumidus,Hydrobius
Anax_longipes,Anax
Goeldichironomus_spp,Goeldichironomus
Planorbella_spp,Planorbella
Alluaudomyia_spp,Alluaudomyia
Microchironomus_spp,Microchironomus
Notomicrus_nanulus,Notomicrus
Neoporus_mellitus,Neoporus
Monohelea_spp,Monohelea
Nanocladius_sp_D,Nanocladius
Ablabesmyia_simpsoni,Ablabesmyia
Hirudinea,Hirudinea
Haliplus_fasciatus,Haliplus
Nais_variabilis,Nais
Asheum_beckae,Asheum
Demicryptochironomus_cuneatus,Demicryptochironomus
Hemerodromia_spp,Hemerodromia
Frenesia_spp,Frenesia
Brachycercus_spp,Brachycercus
Laccophilus_spp,Laccophilus
Macromia_taeniolata,Macromia
Allonais_spp,Allonais
Ochrotrichia_spp,Ochrotrichia
Cricotopus_absurdus,Cricotopus
Acroneuria_arenosa,Acroneuria
Gomphus_spiniceps,Gomphus
Opisthopora,Opisthopora
Potthastia_spp,Potthastia
Molanna_ulmerina,Molanna
Rhyacophila_appalachia,Rhyacophila
Platysmittia_fimbriata,Platysmittia
Diploperla_spp,Diploperla
Amnicola_spp,Amnicola
Trepobates_spp,Trepobates
Micropsectra_sp_B,Micropsectra
Hansonoperla_appalachia,Hansonoperla
Stenelmis_crenata,Stenelmis
Endochironomus_spp,Endochironomus
Cercobrachys_spp,Cercobrachys
Myzobdella_lugubris,Myzobdella
Epicordulia_Tetragoneuria_spp,Epicordulia
Climacia_areolaris,Climacia
Stylurus_ivae,Stylurus
Ameletus_tarteri,Ameletus
Cricotopus_trifascia,Cricotopus
Parapsyche_spp,Parapsyche
Ephemerella_crenula,Ephemerella
Micropsectra_sp_C,Micropsectra
Laccobius_agilis,Laccobius
Einfeldia_spp,Einfeldia
Choroterpes_basalis,Choroterpes
Hydrochara_spp,Hydrochara
Perlinella_spp,Perlinella
Lethocerus_spp,Lethocerus
Psilometriocnemus_triannulatus,Psilometriocnemus
Tanytarsus_sp_3,Tanytarsus
Parakiefferiella_sp_F,Parakiefferiella
Cambarus_C_bartonii_bartonii,Cambarus
Saetheria_sp_1,Saetheria
Mooreobdella_spp,Mooreobdella
Planorbella_duryi,Planorbella
Dytiscidae,Dytiscidae
Platambus_spp,Platambus
Promenetus_exacuous,Promenetus
Isoperla_poffi_n_sp_Collins_Cr,Isoperla
Ostracerca_spp,Ostracerca
Stempellinella_leptocelloides,Stempellinella
Zavrelimyia_sp_A,Zavrelimyia
Acerpenna_spp,Acerpenna
Polypedilum_sp_FL,Polypedilum
Micrasema_sprulesi,Micrasema
Capniidae,Capniidae
Celithemis_spp,Celithemis
Oecetis_inconspicua,Oecetis
Dicrotendipes_thanatogratus,Dicrotendipes
Vejdovskyella_comata,Vejdovskyella
Nilotanypus_spp,Nilotanypus
Smittia_spp,Smittia
Dolichopeza_spp,Dolichopeza
Dolichopodidae,Dolichopodidae
Tanytarsus_guerlus,Tanytarsus
Isochaetides_freyi,Isochaetides
Haemonais_waldvogeli,Haemonais
Lipsothrix_spp,Lipsothrix
Hydrobius_melaenus,Hydrobius
Gymnometriocnemus_spp,Gymnometriocnemus
Spirosperma_ferox,Spirosperma
Nehalennia_spp,Nehalennia
Isoperla_cf_powhatan,Isoperla
Bethbilbeckia_spp,Bethbilbeckia
Isoperla_frisoni,Isoperla
Krenosmittia_spp,Krenosmittia
Molanna_uniophila,Molanna
Cladotanytarsus_sp_C,Cladotanytarsus
Lasmigona_spp,Lasmigona
Axarus_spp,Axarus
Asioplax_dolani,Asioplax
Orimarga_spp,Orimarga
Oecetis_sp_E,Oecetis
Coptotomus_loticus,Coptotomus
Enochrus_sayi,Enochrus
Cyathura_polita,Cyathura
Heterosternuta_pulcher,Heterosternuta
Ephemeroptera,Ephemeroptera
Amphipoda,Amphipoda
Laccophilus_fasciatus_rufus,Laccophilus
Cladotanytarsus_sp_E,Cladotanytarsus
Hudsonimyia_karelena,Hudsonimyia
Uvarus_spp,Uvarus
Chauliodes_spp,Chauliodes
Tokunagaia_spp,Tokunagaia
Stephensoniana_spp,Stephensoniana
Nigronia_spp,Nigronia
Bagous_spp,Bagous
Phaenonotum_exstriatum,Phaenonotum
Zavreliella_marmorata,Zavreliella
Sciomyzidae,Sciomyzidae
Parapoynx_spp,Parapoynx
Mooreobdella_tetragon,Mooreobdella
Celina_spp,Celina
Tanytarsini,Tanytarsini
Cyphon_spp,Cyphon
Cladotanytarsus_sp_H,Cladotanytarsus
Dythemis_velox,Dythemis
Saetheria_hirta,Saetheria
Epoicocladius_flavens,Epoicocladius
Belostomatidae,Belostomatidae
Helochares_maculicollis,Helochares
Telmatoscopus_spp,Telmatoscopus
Rheopelopia_sp_3,Rheopelopia
Rasvena_terna,Rasvena
Stactobiella_spp,Stactobiella
Siphloplecton_spp,Siphloplecton
Micrasema_rusticum,Micrasema
Orthocladius_rivulorum,Orthocladius
Cercobrachys_etowah,Cercobrachys
Nanocladius_spiniplenus,Nanocladius
Macropelopia_spp,Macropelopia
Muscidae,Muscidae
Parakiefferiella_spp,Parakiefferiella
Tanypus_carinatus,Tanypus
Lioplax_subcarinata,Lioplax
Orthotrichia_spp,Orthotrichia
Coptotomus_spp,Coptotomus
Enochrus_pygmaeus,Enochrus
Ameletus_sp_3_BAB,Ameletus
Psectrocladius_elatus,Psectrocladius
Diplectrona_metaqui,Diplectrona
Leptophlebia_bradleyi,Leptophlebia
Chauliodes_pectinicornis,Chauliodes
Alotanypus_spp,Alotanypus
Sympotthastia_spp,Sympotthastia
Oxyethira_spp,Oxyethira
Nanocladius_distinctus,Nanocladius
Lepidoptera,Lepidoptera
Plathemis_lydia,Plathemis
Pericoma_spp,Pericoma
Metriocnemus_spp,Metriocnemus
Lepidostomatidae,Lepidostomatidae
Pteronarcys_comstocki,Pteronarcys
Viehoperla_ada,Viehoperla
Eurylophella_bicolor,Eurylophella
Drunella_lata,Drunella
Gomphaeschna_antilope,Gomphaeschna
Plauditus_gloveri,Plauditus
Helius_spp,Helius
Acilius_spp,Acilius
Limnophora_spp,Limnophora
Tropisternus_lateralis,Tropisternus
Oecetis_sp_F,Oecetis
Liodessus_spp,Liodessus
Trichoptera,Trichoptera
Cricotopus_Orthocladius_spp,Cricotopus
Ulomorpha_spp,Ulomorpha
Sepedon_spp,Sepedon
Macrobdella_ditetra,Macrobdella
Culicoides_spp,Culicoides
Goeldichironomus_holoprasinus,Goeldichironomus
Paracladopelma_undine,Paracladopelma
Rhithrogena_exilis,Rhithrogena
Lioporeus_spp,Lioporeus
Dytiscus_spp,Dytiscus
Matrioptila_jeanae,Matrioptila
Aeshna_umbrosa,Aeshna
Anax_spp,Anax
Erpetogomphus_designatus,Erpetogomphus
Placobdella_ornata,Placobdella
Cardiocladius_albiplumus,Cardiocladius
Desmopachria_spp,Desmopachria
Agarodes_spp,Agarodes
Oecetis_nr_sp_A,Oecetis
Ilybius_spp,Ilybius
Ephydridae,Ephydridae
Laccobius_reflexipenis,Laccobius
Ablabesmyia_hauberi,Ablabesmyia
Nemouridae,Nemouridae
Hydrobius_spp,Hydrobius
Placobdella_multilineata,Placobdella
Rheocricotopus_unidentatus,Rheocricotopus
Paracymus_spp,Paracymus
Oecetis_sp_D,Oecetis
Parakiefferiella_sp_A,Parakiefferiella
Reomyia_spp,Reomyia
Molophilus_spp,Molophilus
Plauditus_spp,Plauditus
Stempellina_spp,Stempellina
Prostoia_spp,Prostoia
Attenella_margarita,Attenella
Demicryptochironomus_sp_A,Demicryptochironomus
Hydrophilidae,Hydrophilidae
Parakiefferiella_sp_B,Parakiefferiella
Cardiocladius_spp,Cardiocladius
Mystacides_spp,Mystacides
Barbaetis_benfieldi,Barbaetis
Tabanidae,Tabanidae
Caecidotea_sp_4_nr_laticaudatus,Caecidotea
Sphaerium_simile,Sphaerium
Rhyacophila_fenestra_ledra,Rhyacophila
Hygrotus_spp,Hygrotus
Orthocladius_saxosus,Orthocladius
Rhithrogena_amica,Rhithrogena
Helicopsyche_paralimnella,Helicopsyche
Yugus_spp,Yugus
Tropisternus_collaris,Tropisternus
Tanypus_punctipennis,Tanypus
Dixidae,Dixidae
Laccobius_minutoides,Laccobius
Culicidae,Culicidae
Cordulegaster_bilineata,Cordulegaster
Tsalia_berneri,Tsalia
Isoperla_n_sp_Mayo_R,Isoperla
Harnischia_spp,Harnischia
Limnodrilus_udekemianus,Limnodrilus
Bolotoperla_rossi,Bolotoperla
Isoperla_nr_transmarina,Isoperla
Macromiidae,Macromiidae
Lipiniella_spp,Lipiniella
Protoplasa_fitchii,Protoplasa
Placobdella_spp,Placobdella
Helisoma_trivolvis,Helisoma
Parachironomus_spp,Parachironomus
Parachironomus_tenuicaudatus_complex,Parachironomus
Cricotopus_luciae_tremulus,Cricotopus
Demicryptochironomus_sp_B_cuneatus,Demicryptochironomus
Epiaeschna_heros,Epiaeschna
Tanytarsus_sp_V,Tanytarsus
Rhyacophila_n_sp_Glover_and_Morse,Rhyacophila
Planorbella_trivolvis,Planorbella
Parachironomus_carinatus,Parachironomus
Psectrotanypus_dyari,Psectrotanypus
Specaria_josinae,Specaria
Heptagenia_pulla,Heptagenia
Rheopelopia_spp,Rheopelopia
Elmidae,Elmidae
Quistadrilus_multisetosus,Quistadrilus
Alboglossiphonia_heteroclita,Alboglossiphonia
Dero_spp,Dero
Sisyra_spp,Sisyra
Leptoceridae,Leptoceridae
Hydrocolus_spp,Hydrocolus
Pedicia_spp,Pedicia
Ceraclea_resurgens,Ceraclea
Tanytarsus_sp_O,Tanytarsus
Prodaticus_bimarginatus,Prodaticus
Spirosperma_carolinensis,Spirosperma
Ormosia_spp,Ormosia
Phryganeidae,Phryganeidae
