"site","date","approach","kingdom","phylum","class","order","family","genus","species","tot_read","Lowest_ID"
"TLA01",20220329,"2","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae",,,81,"Elmidae"
"TLA01",20220329,"2","Eukaryota","Arthropoda","Insecta","Diptera","Simuliidae","Simulium",,19,"Simulium"
"TLA01",20220329,"2","Eukaryota","Arthropoda","Insecta","Diptera","Simuliidae",,,13,"Simuliidae"
"TLA01",20220329,"2","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Ephemerella",,1108,"Ephemerella"
"TLA01",20220329,"2","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Eurylophella","Eurylophella verisimilis",13,"Eurylophella verisimilis"
"TLA01",20220329,"2","Eukaryota","Arthropoda","Insecta","Plecoptera","Chloroperlidae","Haploperla","Haploperla brevis",8,"Haploperla brevis"
"TLA01",20220329,"2","Eukaryota","Arthropoda","Insecta","Plecoptera","Peltoperlidae","Tallaperla",,101,"Tallaperla"
"TLA01",20220329,"2","Eukaryota","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Diplectrona","Diplectrona modesta",30,"Diplectrona modesta"
"TLA01",20220329,"2","Eukaryota","Arthropoda","Malacostraca","Decapoda","Cambaridae","Cambarus",,1880,"Cambarus"
"TLA01",20220812,"2","Eukaryota","Arthropoda","Insecta","Coleoptera","Psephenidae","Psephenus",,16,"Psephenus"
"TLA01",20220812,"2","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae",,,58,"Chironomidae"
"TLA01",20220812,"2","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Baetidae","Procloeon",,77,"Procloeon"
"TLA01",20220812,"2","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Eurylophella","Eurylophella verisimilis",29,"Eurylophella verisimilis"
"TLA01",20220812,"2","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Maccaffertium","Maccaffertium meririvulanum",656,"Maccaffertium meririvulanum"
"TLA01",20220812,"2","Eukaryota","Arthropoda","Insecta","Hemiptera","Veliidae","Microvelia","Microvelia americana",9,"Microvelia americana"
"TLA01",20220812,"2","Eukaryota","Arthropoda","Insecta","Odonata","Calopterygidae","Calopteryx","Calopteryx maculata",68,"Calopteryx maculata"
