"site","date","approach","kingdom","phylum","class","order","family","genus","species","tot_read","Lowest_ID"
"TLA01",20220610,"3","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae","Stenelmis",,186,"Stenelmis"
"TLA01",20220610,"3","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae",,,349,"Elmidae"
"TLA01",20220610,"3","Eukaryota","Arthropoda","Insecta","Coleoptera","Psephenidae","Psephenus","Psephenus herricki",13,"Psephenus herricki"
"TLA01",20220610,"3","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Tanytarsus",,146,"Tanytarsus"
"TLA01",20220610,"3","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae",,,240,"Chironomidae"
"TLA01",20220610,"3","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Maccaffertium","Maccaffertium meririvulanum",503,"Maccaffertium meririvulanum"
"TLA01",20220610,"3","Eukaryota","Arthropoda","Insecta","Megaloptera","Corydalidae","Nigronia","Nigronia fasciatus",18,"Nigronia fasciatus"
"TLA01",20220610,"3","Eukaryota","Arthropoda","Insecta","Odonata","Calopterygidae","Calopteryx",,96,"Calopteryx"
"TLA01",20220610,"3","Eukaryota","Arthropoda","Insecta","Plecoptera","Peltoperlidae","Tallaperla",,959,"Tallaperla"
"TLA01",20220610,"3","Eukaryota","Arthropoda","Insecta","Plecoptera","Perlidae","Eccoptura",,177,"Eccoptura"
"TLA01",20220610,"3","Eukaryota","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Diplectrona","Diplectrona metaqui",126,"Diplectrona metaqui"
"TLA01",20220610,"3","Eukaryota","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Diplectrona","Diplectrona modesta",2264,"Diplectrona modesta"
"TLA01",20220610,"3","Eukaryota","Arthropoda","Insecta","Trichoptera","Philopotamidae","Wormaldia",,19,"Wormaldia"
"TLA02",20220610,"3","Eukaryota","Arthropoda","Arachnida","Trombidiformes","Bdellidae",,,16,"Bdellidae"
"TLA02",20220610,"3","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae","Oulimnius","Oulimnius latiusculus",29,"Oulimnius latiusculus"
"TLA02",20220610,"3","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae","Stenelmis",,197,"Stenelmis"
"TLA02",20220610,"3","Eukaryota","Arthropoda","Insecta","Coleoptera","Psephenidae","Psephenus",,180,"Psephenus"
"TLA02",20220610,"3","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Parametriocnemus",,15,"Parametriocnemus"
"TLA02",20220610,"3","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Tanytarsus",,10,"Tanytarsus"
"TLA02",20220610,"3","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae",,,191,"Chironomidae"
"TLA02",20220610,"3","Eukaryota","Arthropoda","Insecta","Diptera","Empididae","Roederiodes",,11,"Roederiodes"
"TLA02",20220610,"3","Eukaryota","Arthropoda","Insecta","Diptera","Pediciidae","Dicranota",,23,"Dicranota"
"TLA02",20220610,"3","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Maccaffertium","Maccaffertium meririvulanum",1094,"Maccaffertium meririvulanum"
"TLA02",20220610,"3","Eukaryota","Arthropoda","Insecta","Hemiptera","Veliidae","Microvelia","Microvelia americana",8,"Microvelia americana"
"TLA02",20220610,"3","Eukaryota","Arthropoda","Insecta","Megaloptera","Corydalidae","Nigronia","Nigronia fasciatus",88,"Nigronia fasciatus"
"TLA02",20220610,"3","Eukaryota","Arthropoda","Insecta","Plecoptera","Peltoperlidae","Tallaperla","Tallaperla cornelia",34,"Tallaperla cornelia"
"TLA02",20220610,"3","Eukaryota","Arthropoda","Insecta","Plecoptera","Perlidae","Eccoptura",,48,"Eccoptura"
"TLA02",20220610,"3","Eukaryota","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Diplectrona","Diplectrona metaqui",307,"Diplectrona metaqui"
"TLA04",20220610,"3","Eukaryota","Arthropoda","Arachnida","Araneae","Tetragnathidae","Tetragnatha","Tetragnatha viridis",8,"Tetragnatha viridis"
"TLA04",20220610,"3","Eukaryota","Arthropoda","Hexanauplia","Cyclopoida","Cyclopidae",,,41,"Cyclopidae"
"TLA04",20220610,"3","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae","Dubiraphia",,57,"Dubiraphia"
"TLA04",20220610,"3","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae","Stenelmis",,102,"Stenelmis"
"TLA04",20220610,"3","Eukaryota","Arthropoda","Insecta","Diptera","Ceratopogonidae","Palpomyia",,17,"Palpomyia"
"TLA04",20220610,"3","Eukaryota","Arthropoda","Insecta","Diptera","Ceratopogonidae",,,251,"Ceratopogonidae"
"TLA04",20220610,"3","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Limnophyes",,19,"Limnophyes"
