"site","date","approach","kingdom","phylum","class","order","family","genus","species","tot_read","Lowest_ID"
"TLM01",20211027,"1","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae",,,18,"Elmidae"
"TLM01",20211027,"1","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Polypedilum","Polypedilum sp. BOLD:AAB5362",14,"Polypedilum sp. BOLD:AAB5362"
"TLM01",20211027,"1","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Rheotanytarsus","Rheotanytarsus sp. BOLD-2016",12,"Rheotanytarsus sp. BOLD-2016"
"TLM01",20211027,"1","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Tanytarsus",,20,"Tanytarsus"
"TLM01",20211027,"1","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Eurylophella","Eurylophella verisimilis",32,"Eurylophella verisimilis"
"TLM01",20211027,"1","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Leucrocuta",,210,"Leucrocuta"
"TLM01",20211027,"1","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Stenacron",,35,"Stenacron"
"TLM01",20211027,"1","Eukaryota","Arthropoda","Insecta","Megaloptera","Corydalidae","Nigronia","Nigronia fasciatus",8,"Nigronia fasciatus"
"TLM01",20211027,"1","Eukaryota","Arthropoda","Insecta","Odonata","Calopterygidae","Calopteryx","Calopteryx maculata",71,"Calopteryx maculata"
"TLM01",20211027,"1","Eukaryota","Arthropoda","Insecta","Odonata","Gomphidae","Ophiogomphus",,14,"Ophiogomphus"
"TLM01",20211027,"1","Eukaryota","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Cheumatopsyche",,32,"Cheumatopsyche"
"TLM01",20211027,"1","Eukaryota","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Diplectrona","Diplectrona modesta",31,"Diplectrona modesta"
"TLM01",20211027,"1","Eukaryota","Arthropoda","Insecta","Trichoptera","Lepidostomatidae","Lepidostoma","Lepidostoma latipenne",50,"Lepidostoma latipenne"
"TLM01",20211027,"1","Eukaryota","Arthropoda","Insecta","Trichoptera","Limnephilidae","Pycnopsyche","Pycnopsyche antica",71,"Pycnopsyche antica"
"TLM01",20211117,"1","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae","Dubiraphia",,407,"Dubiraphia"
"TLM01",20211117,"1","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae","Optioservus",,511,"Optioservus"
"TLM01",20211117,"1","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae","Oulimnius",,30,"Oulimnius"
"TLM01",20211117,"1","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae",,,49,"Elmidae"
"TLM01",20211117,"1","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Polypedilum",,9,"Polypedilum"
