SITE,eastern_mudminnow,American_eel,redfin_pickerel,tessellated_darter,fallfish,pumpkinseed,pirate_perch,least_brook_lamprey,creek_chubsucker,margined_madtom,rosyside_dace,bluegill,largemouth_bass,chain_pickerel,tadpole_madtom,sea_lamprey,golden_shiner,white_sucker,brown_bullhead,green_sunfish,yellow_perch,eastern_mosquitofish,lepomis_hybrid,eastern_blacknose_dace,creek_chub,longnose_dace,rainbow_trout,brown_trout,northern_hog_sucker,rock_bass,yellow_bullhead,greenside_darter,smallmouth_bass,river_chub,bluntnose_minnow,central_stoneroller,black_crappie,redbreast_sunfish,satinfin_shiner,swallowtail_shiner,mummichog,white_perch,channel_catfish,blue_ridge_sculpin,fantail_darter,Potomac_sculpin,common_shiner,banded_killifish,fathead_minnow,spotfin_shiner,spottail_shiner,cutlips_minnow,common_carp,silverjaw_minnow,longear_sunfish,cyprinid_unknown,goldfish,striped_bass,alewife,rainbow_darter,rosyface_shiner,golden_redhorse,cutthroat_trout,Notropis_sp,cyprinid_hybrid,eastern_silvery_minnow,gizzard_shad,shorthead_redhorse,lamprey_unknown,sculpin_unknown,Cyprinella_sp,American_shad,darter_unknown,bullhead_unknown,Luxilis_sp,sunfish_unknown,inland_silverside,blueback_herring,sunfish_hybrid,Year,StreamName
AA-N-012-110-97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,Muddy Creek
AA-N-020-124-96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,Sloop Cove UT1
AA-N-021-112-97,0,9,0,28,0,0,0,8,0,0,8,0,0,0,0,0,0,13,0,1,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,Stocketts Run
AA-N-030-223-95,18,0,0,30,9,1,0,25,0,0,316,0,0,0,0,0,0,48,0,31,0,0,0,159,104,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,Deep Run UT2
AA-N-034-206-97,17,13,2,0,0,11,0,6,0,0,0,12,0,0,0,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,Mill Creek
AA-N-063-232-97,6,1,3,14,4,0,0,0,0,0,259,0,0,0,0,0,0,19,0,0,0,0,0,36,19,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1997,Dorsey Run
AA-N-072-103-97,0,10,0,7,60,0,0,2,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,Tarnans Branch
AA-N-075-122-97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,Bacon Ridge Br UT1 UT1
AA-N-091-303-97,1,49,0,12,0,10,0,0,0,0,0,3,1,1,0,0,0,8,1,5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,Severn Run
AA-N-091-305-97,1,65,0,23,0,12,0,0,0,0,0,10,0,1,0,0,0,10,2,5,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,Severn Run
AA-N-091-314-97,4,44,0,15,0,8,0,0,0,0,0,6,1,1,0,0,0,13,2,3,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,Severn Run
AA-N-091-320-97,1,44,0,8,0,18,0,0,0,0,0,21,0,1,0,0,0,10,0,3,5,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,Severn Run
AA-N-092-207-97,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,Midway Branch
