SITE,ST_NAME,YEAR,REGION,PHYSIO,COUNTY,BASIN,SEGMENT,ORDER,SAMP_SPR,DATE_SPR,SAMP_SUM,DATE_SUM,LAT,LONG,NORTHING,EASTING,SHEDCODE,SHEDNAME,TEMP_FLD,DO_FLD,PH_LAB,PH_FLD,COND_LAB,COND_FLD,ANC_LAB,DOC_LAB,NO3_LAB,SO4_LAB,ACIDSRC,INSTRHAB,EPI_SUB,VEL_DPTH,POOLQUAL,RIFFQUAL,CHAN_ALT,BANKSTAB,EMBEDDED,CH_FLOW,SHADING,REMOTE,AESTHET,WOOD_DEB,NUMROOT,RIP_WID,BUFF_TYP,ADJ_COVR,MAXDEPTH,ST_GRAD,AVGWID,AVGTHAL,AVG_VEL,FLOW,ACREAGE,URBAN,AGRI,FOREST,WETLANDS,BARREN,WATER,HIGHURB,LOWURB,PASTUR,PROBCROP,ROWCROP,CONIFER,DECIDFOR,MIXEDFOR,EMERGWET,WOODYWET,COALMINE,TRANS,PHI,BKTRFLAG,BLACKWAT,STRATA_R,FIBI_98,BIBI_98,HILSNHOF
AA-N-012-110-97,MUDDY CR,97,C,N,AA,WC,110,1,Y,3/31/1997,Y,7/21/1997,38.868,76.608,377173,911723,2131004,West River,21,7.8,6.87,7.56,250.4,335,555.7,2.5,0.54,31.37,none,6,4,4,6,7,7,8,90,85,50,6,9,0,0,5,OF,PA,9,1,0.95,4.75,0.01,0.1,255.63,9.72,37.53,52.17,0,0,0,1.2,8.52,9.85,17.97,9.72,0.27,45.25,6.65,0,0,0,0,6.89,0,0,COASTAL,,1,5.41573
AA-N-020-124-96,SLOOP COVE UT1,96,C,N,AA,PP,124,1,Y,3/6/1996,Y,6/4/1996,39.147,76.562,478813,924123,2130903,Baltimore Harbor,15.2,6.5,5.75,6.15,157.7,161,55.9,4.9,0.26,20.6,AD,12,1,3,9,2,4,9,100,90,95,6,1,3,0,0,,SL,43,1,1.63,20.75,0.075,0.22,162,11.11,16.67,70.99,0,0,0,0,11.11,0,16.67,0,20.99,26.54,22.22,0,1.23,0,0,13.03,0,0,COASTAL,,1.57,3.38095
AA-N-021-112-97,STOCKETT'S RUN,97,C,N,AA,PX,112,1,Y,3/6/1997,Y,6/30/1997,38.889,76.623,384670,907233,2131104,Patuxent River (Upper),20.1,8.4,6.69,7.41,139.7,184,253.2,2.6,1.12,22.83,none,7,5,13,12,11,10,6,35,80,80,14,12,6,1,50,FR,FR,67,0.07,3.78,25.25,0.1,0.56,1487.18,1.21,51.25,47.45,0.02,0,0.21,0.07,1.14,16.86,22.1,12.29,0.78,40.95,4.64,0.02,1.08,0,0,63.87,0,0,COASTAL,3,2.71,5.37778
AA-N-030-223-95,DEEP RUN UT1,95,C,N,AA,PP,223,2,Y,3/23/1995,Y,7/24/1995,39.170319,76.754169,487002,869698,2130906,Patapsco River Lower North Branch,21.8,7.7,7.08,7.5,176.7,200,385.44,3,1.3,21.68,none,17,13,11,17,7,11,10,25,75,80,6,6,11,3,0,,PA,57,0.8,3.2,24.75,0.1475,0.46,1174.86,11.55,15.61,72.6,0.2,0.14,0,2.81,8.75,2.09,12.08,1.45,8.28,53.37,9.38,0.2,1.56,0,0.14,84.18,0,0,COASTAL,4.25,3.86,5.73034
AA-N-034-206-97,MILL CR,97,C,N,AA,WC,206,2,Y,3/26/1997,Y,7/28/1997,39.018,76.48,431935,947883,2131002,Severn River,23.4,5.6,6.79,6.47,112.7,106,301,4.7,0.58,5.52,none,15,16,12,17,17,10,13,85,95,80,6,5,6,5,50,FR,FR,75,0.8,2.95,57.25,0.05,1.55,1442.56,17.69,6.79,75,0.26,0,0.16,1.6,16.09,1.37,4.53,0.9,4.15,50.14,18.56,0.26,2.15,0,0,73.95,0,0,COASTAL,3,1.57,6.16901
AA-N-063-232-97,DORSEY RUN,97,C,N,AA,PX,232,2,Y,4/1/1997,Y,7/21/1997,39.129,76.774,471961,864160,2131105,Little Patuxent River,20.8,1.2,6.72,6.88,161.1,8,232.9,5,0.37,18.33,none,15,13,6,16,7,5,4,40,50,85,10,12,4,3,15,FR,LN,77,1,2.38,22.25,0,0,750.23,9.84,14.2,72.47,0.18,3.18,0.09,0.45,9.39,2.9,7.17,4.13,11.16,49.02,11.93,0.18,0.36,0,3.18,76.41,0,0,COASTAL,4.25,2.14,3.85484
AA-N-072-103-97,TARNANS BR,97,C,N,AA,WC,103,1,Y,3/26/1997,Y,7/9/1997,38.969,76.633,413912,904352,2131003,South River,24.4,7.5,6.6,6.71,226.8,230,226.4,3.9,0.39,18.06,none,12,11,10,12,14,6,3,70,75,70,5,10,4,1,21,FR,LN,42,1,3.2,16.75,0.1675,0.96,947.54,6.5,50.63,41.9,0.18,0,0.9,0.47,6.03,15.73,27,7.9,5.13,28.55,6.86,0.18,1.36,0,0,50.47,0,0,COASTAL,4,2.14,6.25
AA-N-075-122-97,BACON RIDGE BR UT1 TO UT1,97,C,N,AA,WC,122,1,Y,4/23/1997,Y,7/9/1997,39.042222,76.626389,440470,906117,2131003,South River,19.2,7.6,5.65,6.16,71.1,243,43.8,1.5,0.28,16.92,AD,5,3,3,3,6,5,18,100,80,90,6,3,0,0,50,FR,FR,6,1,0.48,3,0.01,0.04,28.74,0,10.65,91.13,0,0,0,0,0,1.18,8.28,1.18,4.73,65.1,21.29,0,0,0,0,2.59,0,0,COASTAL,,1.86,3.32609
AA-N-091-303-97,SEVERN RUN,97,C,N,AA,WC,303,3,Y,3/27/1997,Y,8/6/1997,39.108,76.659997,464524,896450,2131002,Severn River,18,7.9,7.01,7.13,159.5,157,463,4.8,0.76,14.76,none,16,17,14,18,16,9,12,95,90,70,18,17,20,6,50,FR,FR,98,0.6,4.2,60,0.165,4.7,7339.18,30.73,18.02,45.68,0.32,5.17,0.12,4.83,25.9,1.59,15.61,0.83,13.27,19.15,9.49,0.32,3.76,0.07,5.09,90.79,0,0,COASTAL,3,3.57,4.28571
AA-N-091-305-97,SEVERN RUN,97,C,N,AA,WC,305,3,Y,3/25/1997,Y,8/5/1997,39.109,76.654,464639,898059,2131002,Severn River,19.1,8.2,7.18,7.23,171.4,167,453.7,3.2,1.04,15.17,none,10,11,17,15,17,10,10,100,99,75,17,18,15,3,50,FR,FR,91,0.9,3.95,52.75,0.1775,5.13,7492.45,30.1,18.09,46.13,0.31,5.31,0.12,4.73,25.37,1.85,15.43,0.81,13.38,19.18,9.63,0.31,3.93,0.07,5.24,82.49,0,0,COASTAL,3,3.29,4.75
