"site","date","PC1","drainage_area_m","month","rich","drainage_area_km"
"TLA01",2022-03-29,-0.61565381065947,135532.752,3,9,0.135532752
"TLC01",2022-03-29,0.0647485060642112,131877.672,3,21,0.131877672
"TLM01",2022-03-29,2.7400443201561,917927.76,3,18,0.91792776
"TLM06",2022-03-29,1.13714903541361,630221.844,3,27,0.630221844
"TLM10",2022-03-29,1.42813425741181,445712.724,3,11,0.445712724
"TLM16",2022-03-29,-1.87126460096084,198490.44,3,12,0.19849044
"TLM19",2022-03-29,-2.88315770742543,92188.1039999999,3,5,0.0921881039999999
"TLA01",2022-06-21,-2.61165481379022,135532.752,6,13,0.135532752
"TLC01",2022-06-21,-0.509748177411428,131877.672,6,22,0.131877672
"TLM01",2022-06-21,2.97295211660271,917927.76,6,20,0.91792776
"TLM06",2022-06-21,2.20894473535269,630221.844,6,30,0.630221844
"TLM10",2022-06-21,0.315263031729825,445712.724,6,21,0.445712724
"TLM16",2022-06-21,-1.60490105836266,198490.44,6,16,0.19849044
"TLM19",2022-06-21,-0.770855834120931,92188.1039999999,6,7,0.0921881039999999
"TLA01",2022-08-11,-0.239461080784111,135532.752,8,11,0.135532752
"TLC01",2022-08-11,-0.0521654424969564,131877.672,8,16,0.131877672
"TLM01",2022-08-04,2.464270266556,917927.76,8,17,0.91792776
"TLM06",2022-08-11,1.02092769832679,630221.844,8,25,0.630221844
"TLM10",2022-08-11,1.28858210208757,445712.724,8,18,0.445712724
"TLM16",2022-08-11,-2.68688982777994,198490.44,8,12,0.19849044
"TLM19",2022-08-11,-1.79526371590936,92188.1039999999,8,7,0.0921881039999999
"TLA01",2023-01-30,-0.321677515784723,135532.752,1,10,0.135532752
"TLC01",2023-01-30,0.760115412186697,131877.672,1,17,0.131877672
"TLM01",2023-01-30,2.5120861666261,917927.76,1,9,0.91792776
"TLM06",2023-01-30,1.61505883078943,630221.844,1,10,0.630221844
"TLM10",2023-01-30,0.941805826390824,445712.724,1,12,0.445712724
"TLM16",2023-01-30,-2.67245398081525,198490.44,1,11,0.19849044
"TLM19",2023-01-30,-2.83493473939307,92188.1039999999,1,7,0.0921881039999999
