"site","date","approach","kingdom","phylum","class","order","family","genus","species","tot_read","Lowest_ID"
"TLA01",2022-06-10,"3","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae","Stenelmis",NA,186,"Stenelmis"
"TLA01",2022-06-10,"3","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae",NA,NA,349,"Elmidae"
"TLA01",2022-06-10,"3","Eukaryota","Arthropoda","Insecta","Coleoptera","Psephenidae","Psephenus","Psephenus herricki",13,"Psephenus herricki"
"TLA01",2022-06-10,"3","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Tanytarsus",NA,146,"Tanytarsus"
"TLA01",2022-06-10,"3","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA,240,"Chironomidae"
"TLA01",2022-06-10,"3","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Maccaffertium","Maccaffertium meririvulanum",503,"Maccaffertium meririvulanum"
"TLA01",2022-06-10,"3","Eukaryota","Arthropoda","Insecta","Megaloptera","Corydalidae","Nigronia","Nigronia fasciatus",18,"Nigronia fasciatus"
"TLA01",2022-06-10,"3","Eukaryota","Arthropoda","Insecta","Odonata","Calopterygidae","Calopteryx",NA,96,"Calopteryx"
"TLA01",2022-06-10,"3","Eukaryota","Arthropoda","Insecta","Plecoptera","Peltoperlidae","Tallaperla",NA,959,"Tallaperla"
"TLA01",2022-06-10,"3","Eukaryota","Arthropoda","Insecta","Plecoptera","Perlidae","Eccoptura",NA,177,"Eccoptura"
"TLA01",2022-06-10,"3","Eukaryota","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Diplectrona","Diplectrona metaqui",126,"Diplectrona metaqui"
"TLA01",2022-06-10,"3","Eukaryota","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Diplectrona","Diplectrona modesta",2264,"Diplectrona modesta"
"TLA01",2022-06-10,"3","Eukaryota","Arthropoda","Insecta","Trichoptera","Philopotamidae","Wormaldia",NA,19,"Wormaldia"
"TLC01",2022-06-09,"3","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae","Optioservus",NA,556,"Optioservus"
"TLC01",2022-06-09,"3","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae","Oulimnius","Oulimnius latiusculus",11,"Oulimnius latiusculus"
"TLC01",2022-06-09,"3","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae","Stenelmis",NA,3467,"Stenelmis"
"TLC01",2022-06-09,"3","Eukaryota","Arthropoda","Insecta","Diptera","Ceratopogonidae","Palpomyia",NA,12,"Palpomyia"
"TLC01",2022-06-09,"3","Eukaryota","Arthropoda","Insecta","Diptera","Ceratopogonidae",NA,NA,9,"Ceratopogonidae"
"TLC01",2022-06-09,"3","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Cryptochironomus",NA,51,"Cryptochironomus"
"TLC01",2022-06-09,"3","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Parakiefferiella",NA,30,"Parakiefferiella"
"TLC01",2022-06-09,"3","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Paraphaenocladius",NA,35,"Paraphaenocladius"
"TLC01",2022-06-09,"3","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Tanytarsus",NA,8,"Tanytarsus"
"TLC01",2022-06-09,"3","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA,76,"Chironomidae"
"TLC01",2022-06-09,"3","Eukaryota","Arthropoda","Insecta","Diptera","Limoniidae","Antocha",NA,24,"Antocha"
"TLC01",2022-06-09,"3","Eukaryota","Arthropoda","Insecta","Diptera","Simuliidae","Simulium",NA,261,"Simulium"
"TLC01",2022-06-09,"3","Eukaryota","Arthropoda","Insecta","Megaloptera","Corydalidae","Nigronia","Nigronia fasciatus",43,"Nigronia fasciatus"
"TLC01",2022-06-09,"3","Eukaryota","Arthropoda","Insecta","Odonata","Cordulegastridae","Kalyptogaster","Kalyptogaster erronea",137,"Kalyptogaster erronea"
"TLC01",2022-06-09,"3","Eukaryota","Arthropoda","Insecta","Plecoptera","Leuctridae","Leuctra",NA,465,"Leuctra"
"TLC01",2022-06-09,"3","Eukaryota","Arthropoda","Insecta","Plecoptera","Leuctridae",NA,NA,158,"Leuctridae"
"TLC01",2022-06-09,"3","Eukaryota","Arthropoda","Insecta","Plecoptera","Perlidae","Eccoptura",NA,63,"Eccoptura"
"TLC01",2022-06-09,"3","Eukaryota","Arthropoda","Insecta","Plecoptera","Perlidae","Perlesta","Perlesta nelsoni",1065,"Perlesta nelsoni"
"TLC01",2022-06-09,"3","Eukaryota","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Diplectrona","Diplectrona modesta",876,"Diplectrona modesta"
"TLC01",2022-06-09,"3","Eukaryota","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","Hydropsyche betteni",41,"Hydropsyche betteni"
"TLC01",2022-06-09,"3","Eukaryota","Arthropoda","Insecta","Trichoptera","Limnephilidae","Pycnopsyche","Pycnopsyche antica",127,"Pycnopsyche antica"
"TLC01",2022-06-09,"3","Eukaryota","Arthropoda","Malacostraca","Decapoda","Cambaridae","Lacunicambarus","Lacunicambarus acanthura",17,"Lacunicambarus acanthura"
"TLM01",2022-06-09,"1_3","Eukaryota","Annelida","Clitellata","Haplotaxida","Naididae","Nais",NA,16,"Nais"
"TLM01",2022-06-09,"1_3","Eukaryota","Arthropoda","Arachnida","Trombidiformes",NA,NA,NA,35,"Trombidiformes"
"TLM01",2022-06-09,"1_3","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae","Dubiraphia",NA,332,"Dubiraphia"
"TLM01",2022-06-09,"1_3","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae","Optioservus",NA,267,"Optioservus"
"TLM01",2022-06-09,"1_3","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae","Oulimnius","Oulimnius latiusculus",13,"Oulimnius latiusculus"
"TLM01",2022-06-09,"1_3","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae","Stenelmis",NA,756,"Stenelmis"
"TLM01",2022-06-09,"1_3","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Cryptochironomus",NA,174,"Cryptochironomus"
"TLM01",2022-06-09,"1_3","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Rheotanytarsus",NA,48,"Rheotanytarsus"
"TLM01",2022-06-09,"1_3","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Tanytarsus",NA,39,"Tanytarsus"
"TLM01",2022-06-09,"1_3","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Thienemannimyia",NA,68,"Thienemannimyia"
"TLM01",2022-06-09,"1_3","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA,154,"Chironomidae"
"TLM01",2022-06-09,"1_3","Eukaryota","Arthropoda","Insecta","Diptera","Empididae","Roederiodes",NA,14,"Roederiodes"
"TLM01",2022-06-09,"1_3","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Ephemerella",NA,31,"Ephemerella"
"TLM01",2022-06-09,"1_3","Eukaryota","Arthropoda","Insecta","Ephemeroptera",NA,NA,NA,55,"Ephemeroptera"
"TLM01",2022-06-09,"1_3","Eukaryota","Arthropoda","Insecta","Megaloptera","Corydalidae","Nigronia","Nigronia fasciatus",15,"Nigronia fasciatus"
