"site","PC1","drainage_area_m","rich"
"TLA01",-2.64316078216018,135532.752,13
"TLA02",0.0605081643657651,119057.628,15
"TLA04",-1.36942530000825,84171.636,15
"TLB01",-0.255461828546194,54753.78,12
"TLB02",-1.20804357192098,46537.9439999999,10
"TLC01",0.160391932440245,131877.672,22
"TLC02",-1.31544076869434,62046.0479999999,16
"TLC03",-2.7353459685998,16387.368,14
"TLCG1",-0.832782194639744,106546.008,17
"TLM01",1.85344377415995,917927.76,20
"TLM03",2.29170293890141,761999.831999999,24
"TLM04",1.92859263355116,737850.744,21
"TLM05",1.58860215411239,707737.656,28
"TLM06",1.33586676789124,630221.844,30
"TLM08",-0.287605785030334,573476.088,30
"TLM09",0.151792157920597,543825.635999999,24
"TLM10",0.0956391346103595,445712.724,21
"TLM13",-0.316511639578687,438554.22,21
"TLM14",0.607584247052321,376542.252,13
"TLM15",-0.422942773897312,354900.6,26
"TLM16",-0.607100924464512,198490.44,16
"TLM17",-0.392264509943078,175203.576,13
"TLM18",0.0370316844992208,150742.656,15
"TLM19",0.189581561347098,92188.1039999999,7
"TLM22",2.69088743464115,27851.88,3
"TLMG5",0.354828469043018,185730.888,17
"TLZ01",-0.960367007052476,57448.6559999999,11
