"siteId","sub","Lat","Long"
"TLA01","A",33.7643454,-85.603754
"TLA02","A",33.764551,-85.604751
"TLA04","A",33.7645628,-85.607155
"TLB01","B",33.7596122,-85.599329
"TLB02","B",33.758953,-85.599522
"TLC01","C",33.761607,-85.596612
"TLC02","C",33.7626084,-85.59914
"TLC03","C",33.762737,-85.600066
"TLCG1","C",33.761335,-85.597665
"TLM01","LM",33.7621789,-85.595521
"TLM03","LM",33.7615216,-85.596257
"TLM04","LM",33.7607446,-85.597521
"TLM05","LM",33.7604369,-85.598603
"TLM06","MM1",33.7602042,-85.599333
"TLM08","MM1",33.7605035,-85.601314
"TLM09","MM1",33.760679,-85.601883
"TLM10","MM2",33.7614225,-85.602875
"TLM13","MM2",33.7622066,-85.602907
"TLM14","MM2",33.7630154,-85.602298
"TLM15","MM2",33.7638369,-85.602884
"TLM16","UM1",33.7647263,-85.603235
"TLM17","UM1",33.7660857,-85.604409
"TLM18","UM1",33.7672934,-85.604906
"TLM19","UM2",33.7680935,-85.605681
"TLM20","UM2",33.7686589,-85.605026
"TLM22","UM2",33.769563,-85.604163
"TLMG5","UM1",33.765369,-85.603903
"TLZ01","Z",33.761536,-85.603491
